sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1571	208420	209863	208420	75533170	28.08	406192
s1572	143645	144377	143645	52003123	29.8	580028
s1573	192952	194158	192952	69950055	26.18	525076
s1574	164163	165192	164163	59467929	27.21	214156
s1575	171582	172741	171582	62182458	27.94	489168
s1576	135148	135875	135148	48943519	28.1	199696
s1577	264515	266462	264515	95946112	27.37	730004
s1578	105733	106277	105733	38240464	21.62	312624
s1579	317750	320960	317750	115426068	34.16	841788
s1580	185452	186504	185452	67212100	29.73	584804
s1581	248670	250404	248670	90191047	39.81	1023176
s1582	185917	187293	185917	67340080	33.13	524472
s1583	221145	222603	221145	80215631	26.74	521408
s1584	143647	144457	143647	51987628	22.21	345376
s1585	188563	189585	188563	68290682	26.81	316460
s1586	222629	224223	222629	80737843	26.79	504532
s1587	143718	144481	143718	52087104	25.5	625560
s1588	181064	182258	181064	65572861	32.04	497616
s1589	373967	380731	373967	135955955	30.72	617832
s1590	175803	176805	175803	63594732	33.77	724300
s1591	107109	107627	107109	38666348	29.04	376708
s1592	93603	94001	93603	33850085	30.85	667276
s1593	96301	84318	96301	34832986	36.41	1313648
s1594	75906	76154	75906	27352561	19.41	748736
s1595	132884	133713	132884	48107732	59.21	1905884
s1596	129681	130461	129681	46925983	50.29	1533396
s1597	90350	90756	90350	32679704	78.79	2287828
s1598	97509	97989	97509	35256745	47.36	1581648
s1599	179344	180547	179344	65035455	43.56	1456496
s1600	119393	119866	119393	43229508	33.69	834456
s1601	69743	69990	69743	25184580	23.49	680088
s1602	150724	151736	150724	54584682	45.85	1614364
s1603	106548	107090	106548	38525230	62.44	1494076
s1604	111063	111626	111063	40172194	31.86	1076132
s1605	123480	124125	123480	44650207	41.59	1210212
s1606	141395	142275	141395	51183472	27.49	724820
s1607	224059	226292	224059	81257471	40.25	1100788
s1608	86824	87163	86824	31343590	19.7	134240
s1609	174938	175985	174938	63364899	64.1	2332668
s1610	153064	153966	153064	55470595	33.31	755332
s1611	127380	128042	127380	46096854	38.01	1173920
s1612	104881	105352	104881	37956257	44.69	1675728
s1613	124185	124815	124185	44885449	33.02	952912
s1614	161062	162177	161062	58270862	44.3	1113388
s1615	126113	126751	126113	45658704	32.56	964464
s1616	56338	56535	56338	20296284	98.57	4541884
s1617	147291	148188	147291	53305151	66.41	2485408
s1618	85631	85981	85631	30824725	18.89	399492
s1619	99162	99565	99162	35862129	37.16	899104
s1620	159517	160409	159517	57761662	50.11	1603524
s1621	95014	95403	95014	34358935	35.82	1196896
s1622	219585	221432	219585	79602973	57.41	1933936
s1623	88831	89198	88831	32117230	31.62	1166364
s1624	95060	95418	95060	34371287	45.67	1501164
s1625	110903	111445	110903	40132243	50.41	1644276
s1626	204981	206640	204981	74190982	43.93	1298304
s1627	99916	100402	99916	36138573	98.88	2036960
s1628	111385	111859	111385	40332241	29.33	1601788
s1629	115093	115719	115093	41634591	39.24	1160868
s1630	102449	103052	102449	37072679	26.21	1088380
s1631	130731	131410	130731	47324969	48.25	1343656
s1632	94908	95383	94908	34310851	77.81	1814592
s1633	96219	96695	96219	34811910	33.84	964156
s1634	171809	173062	171809	62224164	62.45	1913572
s1635	166513	167576	166513	60306030	29.59	990720
s1636	98817	99236	98817	35736904	33.7	563524
s1637	93341	93698	93341	33719072	25.16	1247632
s1638	100264	100685	100264	36254017	31.66	1039968
s1639	134040	134811	134040	48486663	33.36	1182740
s1640	84633	84957	84633	30597430	38.25	1158672
s1641	99545	99992	99545	36007642	59.0	2204360
s1642	93410	93822	93410	33757103	50.04	1565092
s1643	97858	98228	97858	35364006	35.08	1190840
s1644	102886	103372	102886	37220098	24.49	514852
s1645	122749	123358	122749	44390885	49.44	1818064
s1646	176936	178041	176936	64127817	58.51	1704384
s1647	88999	89319	88999	32164481	43.19	1413624
s1648	96617	97038	96617	34976481	53.92	1705940
s1649	115199	115746	115199	41664535	28.39	823536
s1650	153403	154535	153403	55520218	31.52	886844
s1651	177114	178568	177114	64150452	43.65	1367768
s1652	510374	519010	510374	184836208	71.23	1177244
s1653	97851	98353	97851	35358334	65.13	1994076
s1654	121104	121900	121104	43776062	30.8	856572
s1655	116802	117374	116802	42332013	32.55	1175616
s1656	224053	225939	224053	81062599	51.2	1235064
s1657	180664	182126	180664	65427444	45.11	1490580
s1658	128890	129549	128890	46624033	25.68	719172
s1659	285976	289430	285976	103525809	46.29	1057432
s1660	88837	89183	88837	32102980	33.6	1080708
s1661	79833	80146	79833	28795384	34.21	924868
s1662	137697	138423	137697	49880305	35.41	948576
s1663	142539	143272	142539	51591109	58.81	1964780
s1664	200616	202204	200616	72554742	41.17	1171560
s1665	106220	106756	106220	38378241	30.57	675488
s1666	107586	108105	107586	38941728	36.98	796868
s1667	142093	142946	142093	51433310	56.69	1463884
s1668	101514	101946	101514	36724194	28.85	741720
s1669	115230	115848	115230	41667076	28.45	1062836
s1670	116713	117219	116713	42210716	35.0	1172328
s1671	161629	162721	161629	58539466	45.5	1398272
s1672	139880	140733	139880	50610186	33.86	1022660
s1673	124009	124643	124009	44849362	38.34	1257044
s1674	127455	128111	127455	46090436	30.39	643260
s1675	97905	98314	97905	35423114	38.94	1215752
s1676	98105	98487	98105	35459303	25.17	879572
s1677	95183	95524	95183	34403028	28.64	1014648
s1678	146172	147120	146172	52909340	44.37	1297076
s1679	91752	92148	91752	33172608	34.6	1105544
s1680	149231	150021	149231	54002479	36.49	923164
s1681	155569	156560	155569	56299239	35.56	1101964
s1682	240635	242828	240635	87093105	46.58	1805704
s1683	119610	120245	119610	43253934	117.75	2116180
s1684	155181	156154	155181	56159942	37.68	1282916
s1685	111326	111853	111326	40264031	38.46	1163936
s1686	144820	145770	144820	52338022	87.51	2758040
s1687	96747	92297	96747	34983387	28.42	650568
s1688	97894	98374	97894	35393834	79.82	2517424
s1689	135082	135815	135082	48933453	28.01	534412
s1690	139559	140272	139559	50480616	30.28	845036
s1691	146042	147018	146042	52866429	48.89	1374240
s1692	203124	204650	203124	73565910	35.46	624008
s1693	113758	114392	113758	41089102	38.84	1018284
s1694	112681	113230	112681	40766530	40.86	1434788
s1695	82022	82279	82022	29642379	26.73	821004
s1696	92769	93191	92769	33548487	40.42	1068708
s1697	106635	107159	106635	38543305	25.31	879280
s1698	96130	96587	96130	34729308	40.98	1204680
s1699	191897	193281	191897	69476218	41.7	1089240
s1700	126131	126819	126131	45636350	31.64	1104584
s1701	115192	115725	115192	41678417	44.81	1556512
s1702	106883	107374	106883	38664185	52.77	1514424
s1703	144013	144825	144013	52105024	40.73	1401808
s1704	117261	80832	117261	42463651	28.22	1864588
s1705	126355	126985	126355	45686668	39.94	1451344
s1706	117969	118604	117969	42616806	34.32	899268
s1707	130457	131114	130457	47258492	38.29	2052248
s1708	77527	77845	77527	27947742	27.81	895564
s1709	103949	104448	103949	37616287	41.64	1354964
s1710	93164	93587	93164	33707459	41.4	1179948
s1711	98216	98651	98216	35523405	27.23	2179568
s1712	169742	171009	169742	61495664	41.78	1146984
s1713	110069	110480	110069	39820413	39.21	1302340
s1714	127494	128196	127494	46111830	32.96	843712
s1715	118913	119506	118913	43010392	60.1	1913852
s1716	99454	99974	99454	35951875	27.79	1841372
s1717	93469	93833	93469	33790167	51.49	1714348
s1718	117583	118165	117583	42541877	31.58	747144
s1719	129914	130700	129914	46906557	19.93	530720
s1720	118160	118820	118160	42705386	28.14	1129472
s1721	94121	94544	94121	34067008	32.67	1729656
s1722	150602	151568	150602	54470494	31.21	1138976
s1723	104299	104733	104299	37743251	33.29	1231924
s1724	139441	140265	139441	50464903	79.37	2100892
s1725	75745	76005	75745	27380149	76.71	1372872
s1726	92241	92571	92241	33370446	32.22	1184772
s1727	257869	260278	257869	93357686	52.26	1457152
s1728	121973	120246	121973	44110083	31.27	806616
s1729	120742	121282	120742	43693318	32.49	804168
s1730	106452	106942	106452	38504399	86.02	2948332
